Year,Month,ProductName,Product_Code,Price,Lag_1,Lag_2,Predicted_Units,Recommended_Inventory,Risk
2026,4,Diu Tansin,29,2027827.99999992,9906,8895.0,8914.727689355166,11143.409611693958,Stable
2026,1,Duzalta,30,19598019.7115981,33684,31497.0,34808.14551950452,43510.18189938065,Stable
2026,2,Duzalta,30,19598019.7115981,33684,31497.0,32927.86480063552,41159.8310007944,Stable
2026,3,Duzalta,30,19598019.7115981,33684,31497.0,32993.921416872574,41242.40177109072,Stable
2026,4,Duzalta,30,19598019.7115981,33684,31497.0,32440.97150929738,40551.21438662172,Stable
2026,1,Eglaro,31,277819.7288,699,627.0,790.9331800467029,988.6664750583786,Stable
2026,2,Eglaro,31,277819.7288,699,627.0,660.0877373568388,825.1096716960485,Stable
2026,3,Eglaro,31,277819.7288,699,627.0,726.1443535938969,907.6804419923711,Stable
2026,4,Eglaro,31,277819.7288,699,627.0,276.4681036837865,345.58512960473314,Overstock
2026,1,Eglaro-S,32,11278355.055,17531,16524.0,17693.917519180828,22117.396898976036,Stock-out
2026,2,Eglaro-S,32,11278355.055,17531,16524.0,16934.803514161515,21168.504392701892,Stock-out
2026,3,Eglaro-S,32,11278355.055,17531,16524.0,17000.86013039857,21251.07516299821,Stock-out
2026,4,Eglaro-S,32,11278355.055,17531,16524.0,16447.910222823386,20559.88777852923,Stock-out
2026,1,Erli,33,22973942.075598,56369,52091.0,54469.35053082299,68086.68816352873,Stock-out
2026,2,Erli,33,22973942.075598,56369,52091.0,52255.530406973885,65319.413008717354,Stock-out
2026,3,Erli,33,22973942.075598,56369,52091.0,52363.46736962519,65454.33421203149,Stock-out
2026,4,Erli,33,22973942.075598,56369,52091.0,51374.56889451141,64218.21111813926,Stock-out
2026,1,Erli Plus,34,14111209.2804999,44669,40950.0,44839.016549730644,56048.770687163305,Stock-out
2026,2,Erli Plus,34,14111209.2804999,44669,40950.0,42959.55713936138,53699.44642420173,Stock-out
2026,3,Erli Plus,34,14111209.2804999,44669,40950.0,43025.61375559843,53782.01719449804,Stock-out
2026,4,Erli Plus,34,14111209.2804999,44669,40950.0,42196.68987463985,52745.862343299814,Stock-out
2026,1,Erli Plus XR,35,15686336.8539994,29870,27645.0,29510.822990707653,36888.528738384564,Stable
2026,2,Erli Plus XR,35,15686336.8539994,29870,27645.0,28092.212200068927,35115.26525008616,Stable
2026,3,Erli Plus XR,35,15686336.8539994,29870,27645.0,28158.268816305983,35197.83602038248,Stable
2026,4,Erli Plus XR,35,15686336.8539994,29870,27645.0,27605.3189087308,34506.6486359135,Stable
2026,1,Erlina,36,28032001.9979964,48241,44265.0,50844.96654766898,63556.20818458622,Stock-out
2026,2,Erlina,36,28032001.9979964,48241,44265.0,47675.8754943195,59594.84436789938,Stock-out
2026,3,Erlina,36,28032001.9979964,48241,44265.0,47783.81245697081,59729.76557121351,Stock-out
2026,4,Erlina,36,28032001.9979964,48241,44265.0,46954.88857601223,58693.610720015284,Stock-out
2026,1,Erlina Plus XR,37,6373911.31499986,22981,21139.0,22519.650765187984,28149.56345648498,Stock-out
2026,2,Erlina Plus XR,37,6373911.31499986,22981,21139.0,22228.567440951363,27785.709301189203,Stock-out
2026,3,Erlina Plus XR,37,6373911.31499986,22981,21139.0,22294.62405718842,27868.280071485526,Stock-out
2026,4,Erlina Plus XR,37,6373911.31499986,22981,21139.0,21741.674149613234,27177.092687016542,Stock-out
2026,1,Estar,38,58462403.8498109,156414,143414.0,149484.14105872178,186855.17632340224,Stable
2026,2,Estar,38,58462403.8498109,156414,143414.0,154024.6901446556,192530.86268081947,Stable
2026,3,Estar,38,58462403.8498109,156414,143414.0,154575.47602820603,193219.34503525755,Stable
2026,4,Estar,38,58462403.8498109,156414,143414.0,151948.04517476095,189935.0564684512,Stable
2026,1,Evo Joshanda,39,22440.0,44,74.0,-8.698591334085965,-10.873239167607455,Overstock
2026,2,Evo Joshanda,39,22440.0,44,74.0,131.55747270680328,164.4468408835041,Overstock
2026,3,Evo Joshanda,39,22440.0,44,74.0,197.61408894386125,247.01761117982656,Overstock
2026,4,Evo Joshanda,39,22440.0,44,74.0,-252.062160966249,-315.07770120781123,Overstock
2026,1,EvoCheck,40,19036141.1684,8530,12314.0,11425.46621021433,14281.832762767914,Stable
2026,2,EvoCheck,40,19036141.1684,8530,12314.0,11345.578062162567,14181.972577703209,Stable
2026,3,EvoCheck,40,19036141.1684,8530,12314.0,11411.634678399627,14264.543347999534,Stable
2026,4,EvoCheck,40,19036141.1684,8530,12314.0,10858.684770824433,13573.355963530541,Stable
2026,1,EvoCheck Go,41,17810847.4001998,11940,14582.0,13654.87072114585,17068.588401432313,Stock-out
2026,2,EvoCheck Go,41,17810847.4001998,11940,14582.0,13190.179561317285,16487.724451646605,Stock-out
2026,3,EvoCheck Go,41,17810847.4001998,11940,14582.0,13256.236177554345,16570.29522194293,Stock-out
2026,4,EvoCheck Go,41,17810847.4001998,11940,14582.0,12703.286269979151,15879.107837473939,Stock-out
2026,1,Evofix,43,4064835.66,6022,6445.0,6543.4567615140795,8179.3209518926,Overstock
2026,2,Evofix,43,4064835.66,6022,6445.0,6404.345201350845,8005.431501688556,Overstock
2026,3,Evofix,43,4064835.66,6022,6445.0,6470.401817587903,8088.0022719848785,Overstock
2026,4,Evofix,43,4064835.66,6022,6445.0,5917.451910012714,7396.814887515892,Overstock
2026,1,Evokalm,44,10836561.7334005,40553,34733.0,38733.76210265731,48417.20262832164,Stable
2026,2,Evokalm,44,10836561.7334005,40553,34733.0,37071.49044745996,46339.363059324955,Stable
2026,3,Evokalm,44,10836561.7334005,40553,34733.0,37137.54706369701,46421.933829621266,Stable
2026,4,Evokalm,44,10836561.7334005,40553,34733.0,36584.597156121825,45730.74644515228,Stable
2026,1,Evokalm XR,45,2517507.135,4344,3659.0,4498.497069889601,5623.121337362001,Stable
2026,2,Evokalm XR,45,2517507.135,4344,3659.0,4359.385509726367,5449.231887157958,Stable
